case_id,role,publication_facing_title,source_branch,lane,frozen_upstream_disposition,witness_file,witness_sha256,pass
BMSA01-F01,UPSTREAM_CANDIDATE,Current-validity propagation into SOC counting,BMSA-01,VALUE_DATA_FLOW,WEAKNESS_CANDIDATE_VALIDITY_BYPASS,bmsa01_02_range_enumeration_witness.c,379e095d317a2e10f0494ce9b9532d4ee02dad0d92a2eda5cac32d32171611e8,True
BMSA03-F01,UPSTREAM_CANDIDATE,Invalid battery-voltage validity propagation into CAN pack-power limits,BMSA-03,VALUE_DATA_FLOW,WEAKNESS_CANDIDATE_VALIDITY_PROPAGATION_TO_CAN_POWER_LIMIT,bmsa03_pack_limit_validity_witness.c,b08d500bcb842269ea33565486260bca03732a52ab9808b6c30eb9bfb6a712f0,True
BMSA04-F01,UPSTREAM_CANDIDATE,HISTORY balancing SOC interface/scale contract mismatch,BMSA-04,VALUE_DATA_FLOW,BOUNDED_HISTORY_SOC_CONTRACT_MISMATCH_CANDIDATE,bmsa04_history_soc_replay.c,8b2c01ede20d9c461e2a7713b03528fa4d2b590fd3eeae27822162ad6887dc56,True
BMSA11-F01,UPSTREAM_CANDIDATE,SOH database-to-CAN reporting disconnection,BMSA-11,VALUE_DATA_FLOW,BOUNDED_SOURCE_LEVEL_SOH_REPORTING_INTEGRATION_WEAKNESS_CANDIDATE,bmsa11_soh_telemetry_semantics_witness.c,6d60e9916cea08140f9c9cbda56bdbd26915741c9304ecbf65ee88231ebac4e7,True
BMSA02-C01,CONTROL,State-estimation dependency control,BMSA-02,VALUE_DATA_FLOW,KNOWN_DEPENDENCY_CONTROL_NO_RESIDUAL_WEAKNESS,bmsa02_capacity_dependency_control.c,a70ccc7a3ceeef744aaad6c4781760edb7d7f575ea155e5fbca61b4beadbc2ac,True
BMSA06-C01,CONTROL,Temperature plausibility-rejection control,BMSA-06,VALUE_DATA_FLOW,PLAUSIBILITY_REJECTION_CONTROL_NO_WEAKNESS,bmsa06_temperature_plausibility_control.c,fab342fee74c02fd45e7f6cbfed8a780045f4928aa1493f22237fef2dea8f9f8,True
BMSA05-F01,UPSTREAM_CANDIDATE,Charge-mode periodic open-wire configuration contract mismatch,BMSA-05,STATE_TIME,CHARGE_MODE_OPEN_WIRE_CONFIGURATION_CONTRACT_MISMATCH_CANDIDATE,bmsa05_mode_config_truth_table_witness.c,08857bcdfa9532c02dc3b1ec39ee9710274710bf879e3edb2ee14dc005b4e8c1,True
BMSA07-F01,UPSTREAM_CANDIDATE,Diagnostic delay identifier/value mismatch,BMSA-07,STATE_TIME,BOUNDED_SOURCE_LEVEL_DIAGNOSTIC_CONFIGURATION_WEAKNESS_CANDIDATE,bmsa07_delay_witness.c,11d6b0fb465bf401230d27daf52fe2a4bfbfe2f942162301e4b78440b9ec1504,True
BMSA08-F02,UPSTREAM_CANDIDATE,Configuration-dependent multi-string contactor-state self-loop,BMSA-08,STATE_TIME,MULTI_STRING_CONNECTION_SELF_LOOP_CANDIDATE,bmsa08_multistring_transition_witness.c,c47428a22724b344782ff036d3b8836426a970153d781142f0d7e425a4ef97bd,True
BMSA09-F03,UPSTREAM_CANDIDATE,Optional IMD acknowledgement-wait liveness condition,BMSA-09,STATE_TIME,BENDER_ISO165C_WAIT_ACK_LIVENESS_CANDIDATE,bmsa09_imd_ack_liveness_witness.c,c08e49adb7676c97f125fbdd46c039899df8587bf123d79ae1bfc728bb310c8f,True
BMSA10-F01,UPSTREAM_CANDIDATE,System Monitor conjunction semantics,BMSA-10,STATE_TIME,SYSTEM_MONITOR_CONJUNCTION_SEMANTICS_CANDIDATE,bmsa10_sys_mon_conjunction_witness.c,0203305a2fe8022f4712e4ec7b4dd0765c4f4d70c09b2d2203881052d929b758,True
BMSA08-F01,UPSTREAM_CANDIDATE,Open-wire Boolean index collapse,BMSA-08,COMMUNICATION_CONFIGURATION,OPEN_WIRE_BOOLEAN_INDEX_COLLAPSE_CANDIDATE,bmsa08_open_wire_witness.c,202910e7cc670326dd94b9c5870f9ed9d5c889820d8e947fc00f36ae8de5a7b8,True
BMSA09-F01,UPSTREAM_CANDIDATE,Debug-CAN fragmented AFE aggregate freshness mismatch,BMSA-09,COMMUNICATION_CONFIGURATION,DEBUG_CAN_AFE_FRAGMENT_STALENESS_CANDIDATE,bmsa09_debug_afe_fragment_witness.c,639f3a23bf7ca91110eaf9c0e43df3fc4853ef603fb83cda1c750a0ac9830f1b,True
BMSA09-F02,UPSTREAM_CANDIDATE,Optional aerosol CAN rolling-counter/CRC acceptance semantics,BMSA-09,COMMUNICATION_CONFIGURATION,AEROSOL_COUNTER_CRC_ACCEPTANCE_PATH_CANDIDATE,bmsa09_aerosol_integrity_witness.c,398c2f604e5d586dbd7c0d5270468bb05da333a7031ea741d205367c91cb19d3,True
BMSA10-F02,UPSTREAM_CANDIDATE,Public BMS state-machine test-surface traceability candidate,BMSA-10,COMMUNICATION_CONFIGURATION,BMS_STATE_MACHINE_PUBLIC_TEST_ADEQUACY_CANDIDATE,bmsa10_bms_state_test_adequacy_witness.py,6a1cbc49ecd0a6b6bc1030369d1a72d2a4ba63b5f77f01802eea22603008220d,True
BMSA10-F03,UPSTREAM_CANDIDATE,Aerosol configuration validator and build-state dependence,BMSA-10,COMMUNICATION_CONFIGURATION,AEROSOL_VALIDATOR_BUILD_STATE_DEPENDENCE_CANDIDATE,bmsa10_aerosol_configuration_witness.py,31cc673d63bcad7ab497dd73088b52a11b76ec0aab597aa75daf713a43507497,True
