case_id,pattern_index,mitigation_pattern,mitigation_disposition,candidate_specific_validation_status,public_source_ids,claim_boundary
BMSA01-F01,1,Gate SOC integration on an explicit current-sample validity state.,MAPPED_NOT_VALIDATED,NOT_VALIDATED,NASA_BATTERY_UNCERTAINTY;IEEE_SENSOR_FAULT_DIAGNOSIS;PLETT_SOC,"Bounded source-level candidate and existing technical-pattern mapping only; no exact-route mitigation validation, residual-weakness determination, novelty, legal, deployed, physical, product, certification, field, or safety conclusion."
BMSA01-F01,2,Cross-check the current input against a redundant sensor or model residual before accumulation.,MAPPED_NOT_VALIDATED,NOT_VALIDATED,NASA_BATTERY_UNCERTAINTY;IEEE_SENSOR_FAULT_DIAGNOSIS;PLETT_SOC,"Bounded source-level candidate and existing technical-pattern mapping only; no exact-route mitigation validation, residual-weakness determination, novelty, legal, deployed, physical, product, certification, field, or safety conclusion."
BMSA01-F01,3,"On invalid input, freeze or bound the estimate and expose the degraded-validity state to consumers.",MAPPED_NOT_VALIDATED,NOT_VALIDATED,NASA_BATTERY_UNCERTAINTY;IEEE_SENSOR_FAULT_DIAGNOSIS;PLETT_SOC,"Bounded source-level candidate and existing technical-pattern mapping only; no exact-route mitigation validation, residual-weakness determination, novelty, legal, deployed, physical, product, certification, field, or safety conclusion."
BMSA03-F01,1,Propagate invalidBatteryVoltage into PackLimits calculation and transmission eligibility.,MAPPED_NOT_VALIDATED,NOT_VALIDATED,AUTOSAR_E2E_PROTOCOL;FOXBMS_DATABASE_VALIDATION;NASA_BATTERY_UNCERTAINTY,"Bounded source-level candidate and existing technical-pattern mapping only; no exact-route mitigation validation, residual-weakness determination, novelty, legal, deployed, physical, product, certification, field, or safety conclusion."
BMSA03-F01,2,Apply a documented conservative fallback or suppress the affected power signal when voltage validity is false.,MAPPED_NOT_VALIDATED,NOT_VALIDATED,AUTOSAR_E2E_PROTOCOL;FOXBMS_DATABASE_VALIDATION;NASA_BATTERY_UNCERTAINTY,"Bounded source-level candidate and existing technical-pattern mapping only; no exact-route mitigation validation, residual-weakness determination, novelty, legal, deployed, physical, product, certification, field, or safety conclusion."
BMSA03-F01,3,Carry validity/freshness as an explicit interface contract and test both valid and invalid branches.,MAPPED_NOT_VALIDATED,NOT_VALIDATED,AUTOSAR_E2E_PROTOCOL;FOXBMS_DATABASE_VALIDATION;NASA_BATTERY_UNCERTAINTY,"Bounded source-level candidate and existing technical-pattern mapping only; no exact-route mitigation validation, residual-weakness determination, novelty, legal, deployed, physical, product, certification, field, or safety conclusion."
BMSA04-F01,1,"Define one explicit unit, scale, initialization, and update invariant for the history value.",MAPPED_NOT_VALIDATED,NOT_VALIDATED,BALANCING_REVIEW;FOXBMS_UNIT_TESTS;NASA_COVERAGE,"Bounded source-level candidate and existing technical-pattern mapping only; no exact-route mitigation validation, residual-weakness determination, novelty, legal, deployed, physical, product, certification, field, or safety conclusion."
BMSA04-F01,2,Use typed state records that distinguish voltage-derived SOC from counting/history counters.,MAPPED_NOT_VALIDATED,NOT_VALIDATED,BALANCING_REVIEW;FOXBMS_UNIT_TESTS;NASA_COVERAGE,"Bounded source-level candidate and existing technical-pattern mapping only; no exact-route mitigation validation, residual-weakness determination, novelty, legal, deployed, physical, product, certification, field, or safety conclusion."
BMSA04-F01,3,"Add equality, just-below, just-above, reset, and long-run differential tests for the non-default strategy.",MAPPED_NOT_VALIDATED,NOT_VALIDATED,BALANCING_REVIEW;FOXBMS_UNIT_TESTS;NASA_COVERAGE,"Bounded source-level candidate and existing technical-pattern mapping only; no exact-route mitigation validation, residual-weakness determination, novelty, legal, deployed, physical, product, certification, field, or safety conclusion."
BMSA11-F01,1,Use the state-estimation database SOH record as the single source for both pack and string reporting callbacks.,MAPPED_NOT_VALIDATED,NOT_VALIDATED,NASA_PHM_BATTERY;FOXBMS_DATABASE_VALIDATION;FOXBMS_UNIT_TEST_HOWTO,"Bounded source-level candidate and existing technical-pattern mapping only; no exact-route mitigation validation, residual-weakness determination, novelty, legal, deployed, physical, product, certification, field, or safety conclusion."
BMSA11-F01,2,"Specify initialization, unavailable, stale, and range semantics at the SOH interface.",MAPPED_NOT_VALIDATED,NOT_VALIDATED,NASA_PHM_BATTERY;FOXBMS_DATABASE_VALIDATION;FOXBMS_UNIT_TEST_HOWTO,"Bounded source-level candidate and existing technical-pattern mapping only; no exact-route mitigation validation, residual-weakness determination, novelty, legal, deployed, physical, product, certification, field, or safety conclusion."
BMSA11-F01,3,"Run end-to-end callback tests with non-100, boundary, and unavailable SOH values.",MAPPED_NOT_VALIDATED,NOT_VALIDATED,NASA_PHM_BATTERY;FOXBMS_DATABASE_VALIDATION;FOXBMS_UNIT_TEST_HOWTO,"Bounded source-level candidate and existing technical-pattern mapping only; no exact-route mitigation validation, residual-weakness determination, novelty, legal, deployed, physical, product, certification, field, or safety conclusion."
BMSA05-F01,1,MIT-COW-MODE-01: select NORMAL versus CHARGE open-wire enable/period settings using the existing mode discriminator.,MAPPED_NOT_VALIDATED,NOT_VALIDATED,TI_OPEN_WIRE;ADI_LTC6813;FOXBMS_UNIT_TESTS,"Bounded source-level candidate and existing technical-pattern mapping only; no exact-route mitigation validation, residual-weakness determination, novelty, legal, deployed, physical, product, certification, field, or safety conclusion."
