case_id,publication,patent_id,directness,mapping_scope,technical_pattern,url,novelty_status,landscape_exhaustive,legal_opinion,patent_title,assignee_or_applicant,publication_date,source
BMSA01-F01,CN103197188A,CN103197188A,DOMAIN_ADJACENT_PATTERN,TECHNICAL_PATTERN_ORIENTATION_ONLY,Battery current-sensor fault diagnosis using cross-checking/diagnostic logic.,https://patents.google.com/patent/CN103197188A/en,NOVELTY_UNDETERMINED,False,False,Battery current sensor fault diagnosis system and method thereof,Shanghai Yirui Automobile Science & Technology Co Ltd,2013-07-10,https://patents.google.com/patent/CN103197188A/en
BMSA03-F01,US7489108B2,US7489108B2,DOMAIN_ADJACENT_PATTERN,TECHNICAL_PATTERN_ORIENTATION_ONLY,Battery current/power limits derived conservatively from multiple state-of-charge indications.,https://patents.google.com/patent/US7489108B2/en,NOVELTY_UNDETERMINED,False,False,Method of controlling battery current limit values,Sanyo Electric Co Ltd,2009-02-10,https://patents.google.com/patent/US7489108B2/en
BMSA04-F01,US8796993B2,US8796993B2,TECHNICALLY_DIRECT_PATTERN,TECHNICAL_PATTERN_ORIENTATION_ONLY,Cell balancing decisions using stored historical balancing information/counts.,https://patents.google.com/patent/US8796993B2/en,NOVELTY_UNDETERMINED,False,False,Historical analysis of battery cells for determining state of health,Southwest Electronic Energy Corp,2014-08-05,https://patents.google.com/patent/US8796993B2/en
BMSA11-F01,US20240142531A1,US20240142531A1,TECHNICALLY_DIRECT_PATTERN,TECHNICAL_PATTERN_ORIENTATION_ONLY,Battery state-of-health indicator conveyed to an interface/reporting path.,https://patents.google.com/patent/US20240142531A1/en,NOVELTY_UNDETERMINED,False,False,Battery management system for determining a health of a power source based on driving events,"Volkswagen AG; Volkswagen Group of America, Inc.; Leland Stanford Junior University",2024-05-02,https://patents.google.com/patent/US20240142531A1/en
BMSA05-F01,US20130041606A1,US20130041606A1,DOMAIN_ADJACENT_PATTERN,TECHNICAL_PATTERN_ORIENTATION_ONLY,Battery open-wire diagnosis with channel/measurement selection.,https://patents.google.com/patent/US20130041606A1/en,NOVELTY_UNDETERMINED,False,False,Detecting an open wire between a battery cell and an external circuit,O2Micro Inc,2013-02-14,https://patents.google.com/patent/US20130041606A1/en
BMSA07-F01,US20030204792A1,US20030204792A1,DOMAIN_ADJACENT_PATTERN,TECHNICAL_PATTERN_ORIENTATION_ONLY,Configurable watchdog timeout and timeout supervision.,https://patents.google.com/patent/US20030204792A1/en,NOVELTY_UNDETERMINED,False,False,Watchdog timer using a high precision event timer,Microsoft Technology Licensing LLC,2003-10-30,https://patents.google.com/patent/US20030204792A1/en
BMSA08-F02,US6917124B2,US6917124B2,TECHNICALLY_DIRECT_PATTERN,TECHNICAL_PATTERN_ORIENTATION_ONLY,Battery switching/breaker command followed by feedback and timeout evaluation.,https://patents.google.com/patent/US6917124B2/en,NOVELTY_UNDETERMINED,False,False,Uninterruptible power supply,Vertiv Corp,2005-07-12,https://patents.google.com/patent/US6917124B2/en
BMSA09-F03,US8971920B2,US8971920B2,TECHNICALLY_DIRECT_PATTERN,TECHNICAL_STATE_MACHINE_LIVENESS_PATTERN_ORIENTATION_ONLY,"Acknowledgement-wait state with lost-acknowledgement liveness handling, retransmission-timer expiry, and message retransmission.",https://patents.google.com/patent/US8971920B2/en,NOVELTY_UNDETERMINED,False,False,Enhanced LTE positioning protocol information transfer procedures for control plane LCS on LTE,Qualcomm Inc,2015-03-03,https://patents.google.com/patent/US8971920B2/en
BMSA10-F01,US20030204792A1,US20030204792A1,TECHNICALLY_DIRECT_PATTERN,TECHNICAL_PATTERN_ORIENTATION_ONLY,Configurable watchdog timeout and timeout supervision.,https://patents.google.com/patent/US20030204792A1/en,NOVELTY_UNDETERMINED,False,False,Watchdog timer using a high precision event timer,Microsoft Technology Licensing LLC,2003-10-30,https://patents.google.com/patent/US20030204792A1/en
BMSA08-F01,US20130041606A1,US20130041606A1,TECHNICALLY_DIRECT_PATTERN,TECHNICAL_PATTERN_ORIENTATION_ONLY,Battery open-wire diagnosis with channel/measurement selection.,https://patents.google.com/patent/US20130041606A1/en,NOVELTY_UNDETERMINED,False,False,Detecting an open wire between a battery cell and an external circuit,O2Micro Inc,2013-02-14,https://patents.google.com/patent/US20130041606A1/en
BMSA09-F01,US20180131522A1,US20180131522A1,DOMAIN_ADJACENT_PATTERN,TECHNICAL_PATTERN_ORIENTATION_ONLY,CAN-message freshness/validity supervision.,https://patents.google.com/patent/US20180131522A1/en,NOVELTY_UNDETERMINED,False,False,Controller area network message authentication,Ford Global Technologies LLC,2018-05-10,https://patents.google.com/patent/US20180131522A1/en
