source_id,publisher,title,evidence_level,url,bounded_relevance,document_number,publication_date
ADI_LTC6813,Analog Devices,LTC6813-1 Multicell Battery Stack Monitor,E1_COMPONENT_VENDOR_DOCUMENTATION,https://www.analog.com/en/products/ltc6813-1.html,Vendor primary documentation for the selected monitor family and its open-wire/communication capabilities.,,
AUTOSAR_E2E_LIBRARY,AUTOSAR,Specification of SW-C End-to-End Communication Protection Library,E0_STANDARD_OR_CONSORTIUM_SPECIFICATION,https://www.autosar.org/fileadmin/standards/R20-11/CP/AUTOSAR_SWS_E2ELibrary.pdf,Provides established sender/receiver protection-library patterns for sequence and integrity checks.,,
AUTOSAR_E2E_PROTOCOL,AUTOSAR,Requirements on E2E Protection Protocol,E0_STANDARD_OR_CONSORTIUM_SPECIFICATION,https://www.autosar.org/fileadmin/standards/R20-11/FO/AUTOSAR_PRS_E2EProtocol.pdf,"Defines established communication-integrity concepts including data identifiers, counters, and CRC-based protection profiles.",,
AUTOSAR_HEALTH_MONITORING,AUTOSAR,Specification of Health Monitoring,E0_STANDARD_OR_CONSORTIUM_SPECIFICATION,https://www.autosar.org/fileadmin/standards/R23-11/FO/AUTOSAR_FO_ASWS_HealthMonitoring.pdf,"Documents established alive, deadline, and logical supervision concepts and reaction handling.",,
AUTOSAR_STATE_MANAGEMENT,AUTOSAR,Specification of State Management,E0_STANDARD_OR_CONSORTIUM_SPECIFICATION,https://www.autosar.org/fileadmin/standards/R24-11/AP/AUTOSAR_AP_SWS_StateManagement.pdf,"Documents established state-request, transition, and recovery-management patterns.",,
BALANCING_REVIEW,ScienceDirect,Battery balancing strategy research record,E2_PRIMARY_RESEARCH_PAPER,https://www.sciencedirect.com/science/article/abs/pii/S2352152X22002924,Primary literature context for explicit balancing strategy criteria and operating boundaries.,,
BAZEL_BUILD_FILES,Bazel,BUILD files,E1_TOOL_VENDOR_DOCUMENTATION,https://bazel.build/concepts/build-files,Documents explicit build-target and dependency declaration patterns.,,
BAZEL_HERMETICITY,Bazel,Hermeticity,E1_TOOL_VENDOR_DOCUMENTATION,https://bazel.build/basics/hermeticity,Documents established hermetic-build controls against undeclared and stale environmental inputs.,,
FOXBMS_COMMUNICATION,foxBMS,Communication,E3_PROJECT_PRIMARY_DOCUMENTATION,https://docs.foxbms.org/system/communication.html,Project-native communication architecture context; not proof of any exact-route mitigation.,,
FOXBMS_DATABASE_VALIDATION,foxBMS,foxBMS database tool,E3_PROJECT_PRIMARY_DOCUMENTATION,https://docs.foxbms.org/tools/fox/db/fox_db.html,Project-native database validation and configuration checking pattern.,,
FOXBMS_UNIT_TESTS,foxBMS,Unit Tests,E3_PROJECT_PRIMARY_DOCUMENTATION,https://docs.foxbms.org/software/unit-tests/unit-tests.html,The audited project's own public unit-test workflow and test infrastructure.,,
FOXBMS_UNIT_TEST_HOWTO,foxBMS,How to Write Unit Tests,E3_PROJECT_PRIMARY_DOCUMENTATION,https://docs.foxbms.org/software/unit-tests/unit-tests_how-to.html,The audited project's own procedure for direct unit tests and assertions.,,
IEEE_SENSOR_FAULT_DIAGNOSIS,IEEE,Lithium-ion battery sensor fault diagnosis research record,E2_PRIMARY_RESEARCH_PAPER,https://ieeexplore.ieee.org/document/8616868/,Primary research context for redundant/model-based battery sensor fault diagnosis.,,
NASA_BATTERY_UNCERTAINTY,NASA,Battery state-estimation uncertainty research record,E2_PRIMARY_TECHNICAL_REPORT,https://ntrs.nasa.gov/citations/20130010482,Primary research context for propagating measurement uncertainty into battery-state estimates.,,
NASA_COVERAGE,NASA,SWE-189 - Code Coverage Measurements,E0_GOVERNMENT_SOFTWARE_ASSURANCE_GUIDANCE,https://swehb.nasa.gov/spaces/SWEHBVD/pages/102695524/SWE-189+-+Code+Coverage+Measurements,Primary government guidance on code-coverage measurement and interpretation of uncovered code.,,
NASA_PHM_BATTERY,PHM Society,Battery prognostics and health-management research record,E2_PRIMARY_RESEARCH_PAPER,https://doi.org/10.36001/phmconf.2014.v6i1.2490,Primary research context for measured health-state estimation and reporting pipelines.,,
NASA_UNIT_TESTING,NASA,SWE-062 - Unit Test,E0_GOVERNMENT_SOFTWARE_ASSURANCE_GUIDANCE,https://swehb.nasa.gov/plugins/viewsource/viewpagesrc.action?pageId=202145998,Primary government software-assurance guidance on unit testing and objective evidence.,,
PLETT_SOC,Journal of Power Sources,Extended Kalman filtering for battery management systems of LiPB-based HEV battery packs,E2_PRIMARY_RESEARCH_PAPER,https://doi.org/10.1016/j.jpowsour.2004.02.033,Primary battery state-estimation work illustrating model/measurement reconciliation rather than blind integration.,,
TI_OPEN_WIRE,Texas Instruments,Open-Wire Detection in BMS System,E1_VENDOR_APPLICATION_NOTE,https://www.ti.com/lit/pdf/sdaa369,Vendor primary material describing open-wire detection and channel-oriented test concepts.,SDAA369,2026-08
