case_id,publication_facing_title,source_branch,lane,frozen_upstream_classification,witness_file,witness_sha256,source_anchor_status,mapped_mitigation_status,candidate_specific_effective_mitigation_status,final_disposition,residual_risk_declared,product_or_safety_conclusion,novelty_status,legal_opinion
BMSA01-F01,Current-validity propagation into SOC counting,BMSA-01,VALUE_DATA_FLOW,WEAKNESS_CANDIDATE_VALIDITY_BYPASS,bmsa01_02_range_enumeration_witness.c,379e095d317a2e10f0494ce9b9532d4ee02dad0d92a2eda5cac32d32171611e8,PASS,MAPPED_NOT_VALIDATED,NOT_ESTABLISHED,PERSISTS_AS_BOUNDED_SOURCE_LEVEL_RESIDUAL_GAP_CANDIDATE,False,False,NOVELTY_UNDETERMINED,False
BMSA03-F01,Invalid battery-voltage validity propagation into CAN pack-power limits,BMSA-03,VALUE_DATA_FLOW,WEAKNESS_CANDIDATE_VALIDITY_PROPAGATION_TO_CAN_POWER_LIMIT,bmsa03_pack_limit_validity_witness.c,b08d500bcb842269ea33565486260bca03732a52ab9808b6c30eb9bfb6a712f0,PASS,MAPPED_NOT_VALIDATED,NOT_ESTABLISHED,PERSISTS_AS_BOUNDED_SOURCE_LEVEL_RESIDUAL_GAP_CANDIDATE,False,False,NOVELTY_UNDETERMINED,False
BMSA04-F01,HISTORY balancing SOC interface/scale contract mismatch,BMSA-04,VALUE_DATA_FLOW,BOUNDED_HISTORY_SOC_CONTRACT_MISMATCH_CANDIDATE,bmsa04_history_soc_replay.c,8b2c01ede20d9c461e2a7713b03528fa4d2b590fd3eeae27822162ad6887dc56,PASS,MAPPED_NOT_VALIDATED,NOT_ESTABLISHED,PERSISTS_AS_BOUNDED_SOURCE_LEVEL_RESIDUAL_GAP_CANDIDATE,False,False,NOVELTY_UNDETERMINED,False
BMSA11-F01,SOH database-to-CAN reporting disconnection,BMSA-11,VALUE_DATA_FLOW,BOUNDED_SOURCE_LEVEL_SOH_REPORTING_INTEGRATION_WEAKNESS_CANDIDATE,bmsa11_soh_telemetry_semantics_witness.c,6d60e9916cea08140f9c9cbda56bdbd26915741c9304ecbf65ee88231ebac4e7,PASS,MAPPED_NOT_VALIDATED,NOT_ESTABLISHED,PERSISTS_AS_BOUNDED_SOURCE_LEVEL_RESIDUAL_GAP_CANDIDATE,False,False,NOVELTY_UNDETERMINED,False
BMSA06-F01,Zero-valid-temperature sentinel semantics and thermal diagnostic clearing,BMSA-06,VALUE_DATA_FLOW,SURVIVES_AS_BOUNDED_SOFTWARE_WEAKNESS_CANDIDATE_AT_HOST_UNIT_AND_DIAGNOSTIC_CONTRACT_SCOPE,bmsa06_f01_bounded_semantics_witness.c,3699183cfc194e3b2810dcac44180189614f4cba9726eef76a92dceb3b85193c,PASS,MAPPED_NOT_VALIDATED,NOT_ESTABLISHED,PERSISTS_AS_BOUNDED_SOURCE_LEVEL_RESIDUAL_GAP_CANDIDATE,False,False,NOVELTY_UNDETERMINED,False
BMSA05-F01,Charge-mode periodic open-wire configuration contract mismatch,BMSA-05,STATE_TIME,CHARGE_MODE_OPEN_WIRE_CONFIGURATION_CONTRACT_MISMATCH_CANDIDATE,bmsa05_mode_config_truth_table_witness.c,08857bcdfa9532c02dc3b1ec39ee9710274710bf879e3edb2ee14dc005b4e8c1,PASS,MAPPED_NOT_VALIDATED,NOT_ESTABLISHED,PERSISTS_AS_BOUNDED_SOURCE_LEVEL_RESIDUAL_GAP_CANDIDATE,False,False,NOVELTY_UNDETERMINED,False
BMSA07-F01,Diagnostic delay identifier/value mismatch,BMSA-07,STATE_TIME,BOUNDED_SOURCE_LEVEL_DIAGNOSTIC_CONFIGURATION_WEAKNESS_CANDIDATE,bmsa07_delay_witness.c,11d6b0fb465bf401230d27daf52fe2a4bfbfe2f942162301e4b78440b9ec1504,PASS,MAPPED_NOT_VALIDATED,NOT_ESTABLISHED,PERSISTS_AS_BOUNDED_SOURCE_LEVEL_RESIDUAL_GAP_CANDIDATE,False,False,NOVELTY_UNDETERMINED,False
BMSA08-F02,Configuration-dependent multi-string contactor-state self-loop,BMSA-08,STATE_TIME,MULTI_STRING_CONNECTION_SELF_LOOP_CANDIDATE,bmsa08_multistring_transition_witness.c,c47428a22724b344782ff036d3b8836426a970153d781142f0d7e425a4ef97bd,PASS,MAPPED_NOT_VALIDATED,NOT_ESTABLISHED,PERSISTS_AS_BOUNDED_SOURCE_LEVEL_RESIDUAL_GAP_CANDIDATE,False,False,NOVELTY_UNDETERMINED,False
BMSA09-F03,Optional IMD acknowledgement-wait liveness condition,BMSA-09,STATE_TIME,BENDER_ISO165C_WAIT_ACK_LIVENESS_CANDIDATE,bmsa09_imd_ack_liveness_witness.c,c08e49adb7676c97f125fbdd46c039899df8587bf123d79ae1bfc728bb310c8f,PASS,MAPPED_NOT_VALIDATED,NOT_ESTABLISHED,PERSISTS_AS_BOUNDED_SOURCE_LEVEL_RESIDUAL_GAP_CANDIDATE,False,False,NOVELTY_UNDETERMINED,False
BMSA10-F01,System Monitor conjunction semantics,BMSA-10,STATE_TIME,SYSTEM_MONITOR_CONJUNCTION_SEMANTICS_CANDIDATE,bmsa10_sys_mon_conjunction_witness.c,0203305a2fe8022f4712e4ec7b4dd0765c4f4d70c09b2d2203881052d929b758,PASS,MAPPED_NOT_VALIDATED,NOT_ESTABLISHED,PERSISTS_AS_BOUNDED_SOURCE_LEVEL_RESIDUAL_GAP_CANDIDATE,False,False,NOVELTY_UNDETERMINED,False
BMSA08-F01,Open-wire Boolean index collapse,BMSA-08,COMMUNICATION_CONFIGURATION,OPEN_WIRE_BOOLEAN_INDEX_COLLAPSE_CANDIDATE,bmsa08_open_wire_witness.c,202910e7cc670326dd94b9c5870f9ed9d5c889820d8e947fc00f36ae8de5a7b8,PASS,MAPPED_NOT_VALIDATED,NOT_ESTABLISHED,PERSISTS_AS_BOUNDED_SOURCE_LEVEL_RESIDUAL_GAP_CANDIDATE,False,False,NOVELTY_UNDETERMINED,False
