gate,pass
G01_master_sidecar_sha256_pass,True
G02_master_zip_crc_pass,True
G03_master_manifest_exact_member_hash_pass,True
G04_exact_source_identity_pass,True
G05_full_project_archive_frozen_sha_pass,True
G06_project_archive_exact_tree_equality_pass,True
G07_project_tree_count_810_pass,True
G08_project_inner_zip_count_383_pass,True
G09_all_383_inner_zip_crc_pass,True
G10_known_sidecar_anomaly_set_exact_no_hash_mismatch,True
G11_known_manifest_anomaly_set_exact,True
G12_master_anomaly_ledger_matches_independent_scan,True
G13_all_14_canonical_artifact_sha_pass,True
G14_all_14_canonical_artifact_crc_pass,True
G15_branch_ledger_14_exact_ids_names_hashes_pass,True
G16_amended_canonical_versions_selected,True
G17_15_bounded_residual_gap_dispositions_preserved,True
G18_bmsa14_final_counts_and_claim_boundary_preserved,True
G19_cross_case_ledger_counts_preserved,True
G20_project_master_index_no_scientific_result_change,True
G21_embedded_inner_zip_ledger_count_pass,True
G22_required_reproduction_and_claim_files_present,True
