case_id,source_branch,lane,frozen_upstream_classification,upstream_reproduction_status,exact_source_anchor_status,mapped_mitigation_status,candidate_specific_effective_mitigation_status,final_disposition,residual_risk_declared,residual_weakness_declared,product_or_safety_conclusion,novelty_status,legal_opinion
BMSA01-F01,BMSA-01,VALUE_DATA_FLOW,WEAKNESS_CANDIDATE_VALIDITY_BYPASS,PASS,PASS,MAPPED_NOT_VALIDATED,NOT_ESTABLISHED,PERSISTS_AS_BOUNDED_SOURCE_LEVEL_RESIDUAL_GAP_CANDIDATE,False,False,False,NOVELTY_UNDETERMINED,False
BMSA03-F01,BMSA-03,VALUE_DATA_FLOW,WEAKNESS_CANDIDATE_VALIDITY_PROPAGATION_TO_CAN_POWER_LIMIT,PASS,PASS,MAPPED_NOT_VALIDATED,NOT_ESTABLISHED,PERSISTS_AS_BOUNDED_SOURCE_LEVEL_RESIDUAL_GAP_CANDIDATE,False,False,False,NOVELTY_UNDETERMINED,False
BMSA04-F01,BMSA-04,VALUE_DATA_FLOW,BOUNDED_HISTORY_SOC_CONTRACT_MISMATCH_CANDIDATE,PASS,PASS,MAPPED_NOT_VALIDATED,NOT_ESTABLISHED,PERSISTS_AS_BOUNDED_SOURCE_LEVEL_RESIDUAL_GAP_CANDIDATE,False,False,False,NOVELTY_UNDETERMINED,False
BMSA11-F01,BMSA-11,VALUE_DATA_FLOW,BOUNDED_SOURCE_LEVEL_SOH_REPORTING_INTEGRATION_WEAKNESS_CANDIDATE,PASS,PASS,MAPPED_NOT_VALIDATED,NOT_ESTABLISHED,PERSISTS_AS_BOUNDED_SOURCE_LEVEL_RESIDUAL_GAP_CANDIDATE,False,False,False,NOVELTY_UNDETERMINED,False
BMSA06-F01,BMSA-06,VALUE_DATA_FLOW,SURVIVES_AS_BOUNDED_SOFTWARE_WEAKNESS_CANDIDATE_AT_HOST_UNIT_AND_DIAGNOSTIC_CONTRACT_SCOPE,PASS,PASS,MAPPED_NOT_VALIDATED,NOT_ESTABLISHED,PERSISTS_AS_BOUNDED_SOURCE_LEVEL_RESIDUAL_GAP_CANDIDATE,False,False,False,NOVELTY_UNDETERMINED,False
BMSA05-F01,BMSA-05,STATE_TIME,CHARGE_MODE_OPEN_WIRE_CONFIGURATION_CONTRACT_MISMATCH_CANDIDATE,PASS,PASS,MAPPED_NOT_VALIDATED,NOT_ESTABLISHED,PERSISTS_AS_BOUNDED_SOURCE_LEVEL_RESIDUAL_GAP_CANDIDATE,False,False,False,NOVELTY_UNDETERMINED,False
BMSA07-F01,BMSA-07,STATE_TIME,BOUNDED_SOURCE_LEVEL_DIAGNOSTIC_CONFIGURATION_WEAKNESS_CANDIDATE,PASS,PASS,MAPPED_NOT_VALIDATED,NOT_ESTABLISHED,PERSISTS_AS_BOUNDED_SOURCE_LEVEL_RESIDUAL_GAP_CANDIDATE,False,False,False,NOVELTY_UNDETERMINED,False
BMSA08-F02,BMSA-08,STATE_TIME,MULTI_STRING_CONNECTION_SELF_LOOP_CANDIDATE,PASS,PASS,MAPPED_NOT_VALIDATED,NOT_ESTABLISHED,PERSISTS_AS_BOUNDED_SOURCE_LEVEL_RESIDUAL_GAP_CANDIDATE,False,False,False,NOVELTY_UNDETERMINED,False
BMSA09-F03,BMSA-09,STATE_TIME,BENDER_ISO165C_WAIT_ACK_LIVENESS_CANDIDATE,PASS,PASS,MAPPED_NOT_VALIDATED,NOT_ESTABLISHED,PERSISTS_AS_BOUNDED_SOURCE_LEVEL_RESIDUAL_GAP_CANDIDATE,False,False,False,NOVELTY_UNDETERMINED,False
BMSA10-F01,BMSA-10,STATE_TIME,SYSTEM_MONITOR_CONJUNCTION_SEMANTICS_CANDIDATE,PASS,PASS,MAPPED_NOT_VALIDATED,NOT_ESTABLISHED,PERSISTS_AS_BOUNDED_SOURCE_LEVEL_RESIDUAL_GAP_CANDIDATE,False,False,False,NOVELTY_UNDETERMINED,False
